query_chain,subject_id,subject_chain,subject_function,e_value,bit_score,percent_identity,alignment_length
2QIO_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],1.41E-23,97.1,25.077,323
2QIO_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],1.42E-23,97.1,25.077,323
2QIO_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],1.51E-23,97.1,25.077,323
2QIO_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],6.01E-23,95.1,25.077,323
2QIO_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],2.32E-17,78.2,26.549,226
2QIO_1|Chains,"['pdb', '1NHG', 'C']",Chain C, enoyl-acyl carrier reductase [Plasmodium falciparum],5.49E-06,42.7,40.909,44
2VRX_1|Chains,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],3.18E-49,170,35.409,257
2VRX_1|Chains,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],1.37E-43,158,31.741,293
2VRX_1|Chains,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.59E-35,129,31.597,288
2VRX_1|Chains,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.78E-35,128,31.25,288
2VRX_1|Chains,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.90E-35,128,31.597,288
2WYW_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],3.91E-28,109,29.536,237
2WYW_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],4.21E-28,109,29.536,237
2WYW_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],4.39E-28,109,29.536,237
2WYW_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],5.45E-28,109,29.536,237
2WYW_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],2.24E-27,107,29.536,237
2WYW_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],2.45E-22,91.7,36.429,140
2Y7J_1|Chains,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],1.10E-52,182,32.852,277
2Y7J_1|Chains,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],1.03E-34,135,31.752,274
3F4B_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],4.33E-177,493,72.024,336
3F4B_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],2.93E-176,491,73.333,330
3F4B_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],2.52E-175,488,73.252,329
3F4B_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],1.79E-174,486,72.948,329
3F4B_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],1.87E-174,486,72.948,329
3F4B_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],1.05E-133,379,78.696,230
3F4B_1|Chains,"['pdb', '1NHG', 'C']",Chain C, enoyl-acyl carrier reductase [Plasmodium falciparum],3.23E-31,111,85,60
3FRF_1|Chain,"['pdb', '3UM5', 'A']",Chain A, Bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],4.00E-12,62.8,34.959,123
3FYV_1|Chain,"['pdb', '3UM5', 'A']",Chain A, Bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],4.00E-12,62.8,34.959,123
3FYW_1|Chain,"['pdb', '3UM5', 'A']",Chain A, Bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],4.00E-12,62.8,34.959,123
3GR6_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],3.44E-18,82,28.311,219
3GR6_1|Chains,"['pdb', '1UH5', 'A']",Chain A, enoyl-ACP reductase [Plasmodium falciparum],4.12E-18,82,29.224,219
3GR6_1|Chains,"['pdb', '1VRW', 'A']",Chain A, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],4.22E-18,82,29.224,219
3GR6_1|Chains,"['pdb', '2OL4', 'A']",Chain A, Enoyl-acyl carrier reductase [Plasmodium falciparum],5.04E-18,82,29.224,219
3GR6_1|Chains,"['pdb', '3AM5', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],1.62E-17,80.5,29.224,219
3GR6_1|Chains,"['pdb', '1NHG', 'A']",Chain A, enoyl-acyl carrier reductase [Plasmodium falciparum],2.10E-13,67.4,36.29,124
3KRR_1|Chain,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],5.93E-21,90.1,32.178,202
3KRR_1|Chain,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],6.36E-21,90.1,32.178,202
3KRR_1|Chain,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],9.52E-21,89.4,32,200
3KRR_1|Chain,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],3.86E-15,75.1,32.143,224
3MY0_1|Chains,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],6.51E-12,65.5,26.027,219
3MY0_1|Chains,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],4.62E-06,47.8,25.296,253
3NRC_1|Chains,"['pdb', '3AM3', 'A']",Chain A, Enoyl-ACP reductase [Plasmodium falciparum],4.70E-16,76.6,24.893,233
