query_chain,subject_id,subject_chain,subject_function,e_value,bit_score,percent_identity,alignment_length
8TYQ_1|Chain,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.81E-09,61.2,25,284
8TYQ_1|Chain,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],2.88E-09,60.5,25,284
8TYQ_1|Chain,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],2.91E-09,60.5,25,284
8TZB_1|Chain,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],7.43E-14,76.6,31.336,217
8TZB_1|Chain,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],2.06E-10,66.2,28.409,264
8TZB_1|Chain,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],3.07E-10,63.5,25.352,284
8TZB_1|Chain,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],4.71E-10,63.2,25.352,284
8TZE_1|Chain,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],7.43E-14,76.6,31.336,217
8TZE_1|Chain,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],2.06E-10,66.2,28.409,264
8TZE_1|Chain,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],3.07E-10,63.5,25.352,284
8TZE_1|Chain,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],4.71E-10,63.2,25.352,284
8TZF_1|Chain,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],1.77E-13,75.5,31.336,217
8TZF_1|Chain,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],1.88E-10,66.2,28.125,288
8TZF_1|Chain,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],7.36E-10,62.4,25.352,284
8TZF_1|Chain,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.15E-09,61.6,25.352,284
8TZF_1|Chain,"['pdb', '1V0O', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],1.19E-09,61.6,25.352,284
8U7L_1|Chains,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],7.82E-14,76.6,31.336,217
8U7L_1|Chains,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],2.17E-10,66.2,28.125,288
8U7L_1|Chains,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],3.07E-10,63.5,25.352,284
8U7L_1|Chains,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],4.50E-10,63.2,25.352,284
8U8A_1|Chains,"['pdb', '4RGJ', 'A']",Chain A, Calcium-dependent protein kinase 4 [Plasmodium falciparum],7.82E-14,76.6,31.336,217
8U8A_1|Chains,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],2.17E-10,66.2,28.125,288
8U8A_1|Chains,"['pdb', '1V0B', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],3.07E-10,63.5,25.352,284
8U8A_1|Chains,"['pdb', '1OB3', 'A']",Chain A, CELL DIVISION CONTROL PROTEIN 2 HOMOLOG [Plasmodium falciparum],4.50E-10,63.2,25.352,284
8YGE_1|Chains,"['pdb', '6CA8', 'A']",Chain A, DNA topoisomerase 2 [Plasmodium falciparum],1.38E-70,251,27.509,807
8ZYO_1|Chains,"['pdb', '5DYK', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],1.42E-07,55.1,31.522,92
8ZYO_1|Chains,"['pdb', '4OFF', 'A']",Chain A, CGMP-dependent protein kinase [Plasmodium falciparum],2.25E-07,50.8,32.222,90
9CE8_2|Chains,"['pdb', '5FMG', 'L']",Chain L, PROTEASOME SUBUNIT BETA TYPE [Plasmodium falciparum],9.37E-07,47.8,24.201,219
9NKG_3|Chains,"['pdb', '5FMG', 'C']",Chain C, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],3.19E-85,254,52.439,246
9NKG_3|Chains,"['pdb', '5FMG', 'D']",Chain D, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],8.96E-48,158,35.124,242
9NKG_3|Chains,"['pdb', '5FMG', 'E']",Chain E, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],4.52E-35,125,35.874,223
9NKG_14|Chains,"['pdb', '5FMG', 'N']",Chain N, PROTEASOME SUBUNIT BETA TYPE [Plasmodium falciparum],5.51E-49,162,36.287,237
9NKG_1|Chains,"['pdb', '5FMG', 'C']",Chain C, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],4.29E-36,127,34.914,232
9NKG_1|Chains,"['pdb', '5FMG', 'E']",Chain E, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],1.36E-33,121,29.646,226
9NKG_1|Chains,"['pdb', '5FMG', 'D']",Chain D, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],1.68E-30,113,29.289,239
9NKG_10|Chains,"['pdb', '5FMG', 'M']",Chain M, PROTEASOME SUBUNIT BETA TYPE [Plasmodium falciparum],1.03E-17,78.2,25.604,207
9NKG_11|Chains,"['pdb', '5FMG', 'K']",Chain K, PROTEASOME SUBUNIT BETA TYPE [Plasmodium falciparum],5.34E-48,155,40.212,189
9NKG_11|Chains,"['pdb', '5FMG', 'L']",Chain L, PROTEASOME SUBUNIT BETA TYPE [Plasmodium falciparum],1.67E-11,60.8,26.667,180
9NKG_13|Chains,"['pdb', '5FMG', 'M']",Chain M, PROTEASOME SUBUNIT BETA TYPE [Plasmodium falciparum],2.83E-60,189,43.192,213
9NKG_2|Chains,"['pdb', '5FMG', 'D']",Chain D, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],4.48E-52,168,39.394,231
9NKG_2|Chains,"['pdb', '5FMG', 'C']",Chain C, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],2.99E-41,140,39.153,189
9NKG_2|Chains,"['pdb', '5FMG', 'E']",Chain E, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],1.96E-37,131,32.547,212
9NKG_4|Chains,"['pdb', '5FMG', 'D']",Chain D, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],5.90E-84,250,49.18,244
9NKG_4|Chains,"['pdb', '5FMG', 'E']",Chain E, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],1.94E-39,137,33.898,236
9NKG_4|Chains,"['pdb', '5FMG', 'C']",Chain C, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],6.10E-39,135,38.764,178
9NKG_5|Chains,"['pdb', '5FMG', 'E']",Chain E, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],3.36E-89,263,53.942,241
9NKG_5|Chains,"['pdb', '5FMG', 'C']",Chain C, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],1.49E-43,147,38.793,232
9NKG_5|Chains,"['pdb', '5FMG', 'D']",Chain D, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],1.46E-37,131,33.962,212
9NKG_6|Chains,"['pdb', '5FMG', 'E']",Chain E, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],3.44E-37,131,33.197,244
9NKG_6|Chains,"['pdb', '5FMG', 'D']",Chain D, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],1.23E-36,129,33.469,245
9NKG_6|Chains,"['pdb', '5FMG', 'C']",Chain C, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],2.80E-32,118,38.889,180
9NKG_7|Chains,"['pdb', '5FMG', 'C']",Chain C, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],8.73E-44,148,34.286,245
9NKG_7|Chains,"['pdb', '5FMG', 'E']",Chain E, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],5.25E-35,125,35.233,193
9NKG_7|Chains,"['pdb', '5FMG', 'D']",Chain D, PROTEASOME SUBUNIT ALPHA TYPE [Plasmodium falciparum],6.56E-30,112,31.628,215
